id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
1,TCK-C56T4UF,Critical,Closed,Hardware,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-04-12,2024-04-23,fatima,2024-04-12 08:10:31
2,TCK-EL6246H,Low,In Progress,Access,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-12-14,,charlie,2024-12-14 01:42:35
3,TCK-ID25OWF,High,Resolved,Software,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-09-27,2024-09-29,edward,2024-09-27 10:07:09
4,TCK-75935A0,Medium,In Progress,Access,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-04-16,,bob,2024-04-16 15:17:38
5,TCK-L7253J2,Low,In Progress,Network,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-03-12,,edward,2024-03-12 19:23:04
6,TCK-D54I3QK,Low,Resolved,Security,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-07-07,2024-07-08,irene,2024-07-07 16:20:33
7,TCK-2IAGL58,High,Resolved,Software,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-01-21,2024-02-02,alice,2024-01-21 11:30:50
8,TCK-KXO9T7E,Low,Open,Network,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-04-12,,edward,2024-04-12 00:11:16
9,TCK-8G8JDP0,Critical,Resolved,Hardware,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-05-01,2024-05-06,fatima,2024-05-01 14:16:01
10,TCK-LVSNUJZ,Critical,Open,Software,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-08-02,,george,2024-08-02 07:05:07
11,TCK-A7TZ0YN,Medium,Open,Security,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-11-26,,irene,2024-11-26 12:11:10
12,TCK-CXLL4ZK,Medium,Open,Security,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-03-28,,fatima,2024-03-28 02:58:42
13,TCK-LOOKEP7,Medium,Open,Hardware,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-04-09,,edward,2024-04-09 20:49:09
